node,samplewise_robust,collective_robust,feature_norm,accuracy_samplewise,accuracy_collective,avg_test_degree,test_feature_dim,test_ntk_rank,n_test_nodes,n_test_edges
0,False,1.0,3.328993576579917,0.00625,0.4875,3.175,7,40,160,254
1,False,0.0,1.7870269845117581,0.00625,0.4875,3.175,7,40,160,254
2,False,1.0,3.351284131231155,0.00625,0.4875,3.175,7,40,160,254
3,False,0.0,2.161751810497737,0.00625,0.4875,3.175,7,40,160,254
4,False,1.0,2.9578434394777045,0.00625,0.4875,3.175,7,40,160,254
5,False,1.0,2.9012876180790204,0.00625,0.4875,3.175,7,40,160,254
6,False,1.0,2.3829331739447386,0.00625,0.4875,3.175,7,40,160,254
7,False,1.0,3.0308482973202198,0.00625,0.4875,3.175,7,40,160,254
8,False,1.0,2.475677758776364,0.00625,0.4875,3.175,7,40,160,254
9,False,1.0,2.952937536649643,0.00625,0.4875,3.175,7,40,160,254
10,False,1.0,3.4686283279823082,0.00625,0.4875,3.175,7,40,160,254
11,False,1.0,2.0468071999543245,0.00625,0.4875,3.175,7,40,160,254
12,False,1.0,4.028199133188538,0.00625,0.4875,3.175,7,40,160,254
13,False,1.0,3.045135098819119,0.00625,0.4875,3.175,7,40,160,254
14,False,1.0,2.342132066760312,0.00625,0.4875,3.175,7,40,160,254
15,False,0.0,4.596629982401856,0.00625,0.4875,3.175,7,40,160,254
16,False,1.0,3.176674098262083,0.00625,0.4875,3.175,7,40,160,254
17,False,1.0,2.605901514465803,0.00625,0.4875,3.175,7,40,160,254
18,False,1.0,2.342974405177801,0.00625,0.4875,3.175,7,40,160,254
19,False,1.0,3.6531528261945976,0.00625,0.4875,3.175,7,40,160,254
20,False,1.0,2.989964361647636,0.00625,0.4875,3.175,7,40,160,254
21,False,1.0,2.7932004092395757,0.00625,0.4875,3.175,7,40,160,254
22,False,1.0,3.6260019959909155,0.00625,0.4875,3.175,7,40,160,254
23,False,1.0,2.8499989922266757,0.00625,0.4875,3.175,7,40,160,254
24,False,1.0,1.8019842996243702,0.00625,0.4875,3.175,7,40,160,254
25,False,1.0,2.898585364068568,0.00625,0.4875,3.175,7,40,160,254
26,False,0.0,2.719366971782174,0.00625,0.4875,3.175,7,40,160,254
27,False,1.0,2.0621864683154536,0.00625,0.4875,3.175,7,40,160,254
28,False,1.0,2.2496405620535675,0.00625,0.4875,3.175,7,40,160,254
29,False,1.0,3.729637570540786,0.00625,0.4875,3.175,7,40,160,254
30,False,1.0,2.1709478806829043,0.00625,0.4875,3.175,7,40,160,254
31,False,1.0,3.688260727619761,0.00625,0.4875,3.175,7,40,160,254
32,False,1.0,2.369302759530624,0.00625,0.4875,3.175,7,40,160,254
33,False,1.0,3.3206053376886575,0.00625,0.4875,3.175,7,40,160,254
34,False,1.0,2.5727234551686795,0.00625,0.4875,3.175,7,40,160,254
35,False,1.0,3.160083811561702,0.00625,0.4875,3.175,7,40,160,254
36,False,1.0,1.1743145134513797,0.00625,0.4875,3.175,7,40,160,254
37,False,1.0,2.268711979594079,0.00625,0.4875,3.175,7,40,160,254
38,False,1.0,1.026311791023644,0.00625,0.4875,3.175,7,40,160,254
39,False,1.0,3.316038648949862,0.00625,0.4875,3.175,7,40,160,254
40,False,1.0,2.9569363904306556,0.00625,0.4875,3.175,7,40,160,254
41,False,1.0,2.669803970697703,0.00625,0.4875,3.175,7,40,160,254
42,False,1.0,2.3996188907700606,0.00625,0.4875,3.175,7,40,160,254
43,False,1.0,3.990764370343552,0.00625,0.4875,3.175,7,40,160,254
44,False,1.0,2.485961467775666,0.00625,0.4875,3.175,7,40,160,254
45,False,1.0,3.573608654593614,0.00625,0.4875,3.175,7,40,160,254
46,False,1.0,1.9584102582646468,0.00625,0.4875,3.175,7,40,160,254
47,False,1.0,3.5337551451826603,0.00625,0.4875,3.175,7,40,160,254
48,False,1.0,2.888310738018911,0.00625,0.4875,3.175,7,40,160,254
49,False,1.0,3.148231448536266,0.00625,0.4875,3.175,7,40,160,254
50,False,1.0,1.8570947812984364,0.00625,0.4875,3.175,7,40,160,254
51,False,1.0,4.215028950130721,0.00625,0.4875,3.175,7,40,160,254
52,False,1.0,2.155519174973667,0.00625,0.4875,3.175,7,40,160,254
53,False,1.0,2.882086387199514,0.00625,0.4875,3.175,7,40,160,254
54,False,0.0,1.5862428404683981,0.00625,0.4875,3.175,7,40,160,254
55,False,1.0,4.2486948776559395,0.00625,0.4875,3.175,7,40,160,254
56,False,1.0,2.346604269083085,0.00625,0.4875,3.175,7,40,160,254
57,False,1.0,1.9905415465552327,0.00625,0.4875,3.175,7,40,160,254
58,False,1.0,3.1227324215066625,0.00625,0.4875,3.175,7,40,160,254
59,False,1.0,2.2867108001479126,0.00625,0.4875,3.175,7,40,160,254
60,False,1.0,3.413991922114124,0.00625,0.4875,3.175,7,40,160,254
61,False,1.0,2.6275744741116185,0.00625,0.4875,3.175,7,40,160,254
62,False,0.0,1.8810316089288153,0.00625,0.4875,3.175,7,40,160,254
63,False,1.0,3.6005462336959684,0.00625,0.4875,3.175,7,40,160,254
64,False,1.0,2.4002387046795253,0.00625,0.4875,3.175,7,40,160,254
65,False,0.0,2.6470321118937457,0.00625,0.4875,3.175,7,40,160,254
66,False,1.0,3.3803243728750423,0.00625,0.4875,3.175,7,40,160,254
67,False,1.0,2.1969988427106193,0.00625,0.4875,3.175,7,40,160,254
68,False,1.0,3.0231801908274964,0.00625,0.4875,3.175,7,40,160,254
69,False,0.0,2.4412543189306035,0.00625,0.4875,3.175,7,40,160,254
70,False,1.0,1.8506840746005384,0.00625,0.4875,3.175,7,40,160,254
71,False,0.0,3.581846096194348,0.00625,0.4875,3.175,7,40,160,254
72,False,1.0,2.095709095080129,0.00625,0.4875,3.175,7,40,160,254
73,False,0.0,2.810204383777932,0.00625,0.4875,3.175,7,40,160,254
74,False,0.0,1.9996661575104147,0.00625,0.4875,3.175,7,40,160,254
75,False,0.0,1.1324510847334133,0.00625,0.4875,3.175,7,40,160,254
76,False,1.0,3.623986667294199,0.00625,0.4875,3.175,7,40,160,254
77,False,0.0,2.9763531960895273,0.00625,0.4875,3.175,7,40,160,254
78,False,0.0,1.4759349930766223,0.00625,0.4875,3.175,7,40,160,254
79,False,0.0,3.340849047524439,0.00625,0.4875,3.175,7,40,160,254
