dataset,delta,Test Accuracy,Certified Robustness,Runtime
cba,0.0,0.84 ± 0.02,1.00 ± 0.00,20.27 ± 2.29
cba,0.05,0.84 ± 0.02,0.68 ± 0.09,24.74 ± 3.38
cba,0.1,0.84 ± 0.02,0.25 ± 0.15,24.11 ± 3.63
cba,0.15,0.84 ± 0.02,0.02 ± 0.04,24.06 ± 3.29
cba,0.2,0.84 ± 0.02,0.00 ± 0.00,23.73 ± 3.93
cba,0.25,0.84 ± 0.02,0.00 ± 0.00,22.60 ± 2.43
cba,0.3,0.84 ± 0.02,0.00 ± 0.00,18.51 ± 1.88
csbm,0.0,0.84 ± 0.04,1.00 ± 0.00,17.70 ± 1.86
csbm,0.05,0.84 ± 0.04,0.69 ± 0.12,27.38 ± 3.60
csbm,0.1,0.84 ± 0.04,0.29 ± 0.16,25.69 ± 3.13
csbm,0.15,0.84 ± 0.04,0.02 ± 0.02,21.87 ± 1.57
csbm,0.2,0.84 ± 0.04,0.00 ± 0.00,24.33 ± 2.78
csbm,0.25,0.84 ± 0.04,0.00 ± 0.00,21.36 ± 3.32
csbm,0.3,0.84 ± 0.04,0.00 ± 0.00,22.90 ± 5.02
