dataset,delta,Test Accuracy,Certified Robustness,Runtime
cba,0.0,0.84 ± 0.03,1.00 ± 0.00,17.39 ± 1.93
cba,0.05,0.84 ± 0.03,0.65 ± 0.09,23.11 ± 4.02
cba,0.1,0.84 ± 0.03,0.17 ± 0.18,22.41 ± 3.89
cba,0.15,0.84 ± 0.03,0.02 ± 0.05,23.86 ± 2.12
cba,0.2,0.84 ± 0.03,0.00 ± 0.00,28.03 ± 6.42
cba,0.25,0.84 ± 0.03,0.00 ± 0.00,27.05 ± 4.18
cba,0.3,0.84 ± 0.03,0.00 ± 0.00,28.67 ± 4.06
csbm,0.0,0.84 ± 0.04,1.00 ± 0.00,23.08 ± 4.66
csbm,0.05,0.84 ± 0.04,0.62 ± 0.17,31.24 ± 8.51
csbm,0.1,0.84 ± 0.04,0.21 ± 0.15,23.87 ± 3.82
csbm,0.15,0.84 ± 0.04,0.02 ± 0.02,22.95 ± 3.47
csbm,0.2,0.84 ± 0.04,0.00 ± 0.00,25.28 ± 0.58
csbm,0.25,0.84 ± 0.04,0.00 ± 0.00,24.14 ± 4.70
csbm,0.3,0.84 ± 0.04,0.00 ± 0.00,51.00 ± 3.11
