delta,seed,dataset,model,error,accuracy_cert_pois_robust,gurobi_node_count
0.0,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.02,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.04,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.05,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.06,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.08,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.1,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.12,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.13,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.132,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.134,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.136,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.138,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14200000000000002,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.144,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.146,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.148,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.15,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.152,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.154,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.156,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.158,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.162,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.164,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16599999999999998,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16799999999999998,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16999999999999998,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.172,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.174,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.176,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.178,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.18,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.2,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.22,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.24,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.25,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.26,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.28,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.3,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.5,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
1.0,0,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.0,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.02,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.04,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.05,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.06,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.08,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.1,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.12,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.13,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.132,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.134,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.136,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.138,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14200000000000002,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.144,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.146,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.148,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.15,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.152,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.154,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.156,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.158,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.162,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.164,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16599999999999998,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16799999999999998,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16999999999999998,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.172,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.174,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.176,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.178,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
