dataset,delta,Test Accuracy,Certified Robustness,Runtime
cba,0.0,0.84 ± 0.03,1.00 ± 0.00,0.13 ± 0.13
cba,0.05,0.84 ± 0.03,0.95 ± 0.02,0.10 ± 0.03
cba,0.1,0.84 ± 0.03,0.91 ± 0.03,0.58 ± 0.10
cba,0.15,0.84 ± 0.03,0.82 ± 0.09,1.05 ± 0.19
cba,0.2,0.84 ± 0.03,0.69 ± 0.13,2.28 ± 0.75
cba,0.25,0.84 ± 0.03,0.46 ± 0.19,3.16 ± 1.43
cba,0.3,0.84 ± 0.03,0.22 ± 0.20,3.44 ± 2.64
csbm,0.0,0.86 ± 0.02,1.00 ± 0.00,0.13 ± 0.13
csbm,0.05,0.86 ± 0.02,0.93 ± 0.03,0.10 ± 0.03
csbm,0.1,0.86 ± 0.02,0.89 ± 0.06,0.62 ± 0.11
csbm,0.15,0.86 ± 0.02,0.82 ± 0.09,1.10 ± 0.41
csbm,0.2,0.86 ± 0.02,0.67 ± 0.18,1.37 ± 0.18
csbm,0.25,0.86 ± 0.02,0.50 ± 0.23,2.63 ± 1.21
csbm,0.3,0.86 ± 0.02,0.28 ± 0.22,5.09 ± 3.68
