dataset,delta,Test Accuracy,Certified Robustness,Runtime
cba,0.0,0.84 ± 0.03,1.00 ± 0.00,10.20 ± 0.89
cba,0.05,0.84 ± 0.03,0.88 ± 0.04,15.09 ± 0.80
cba,0.1,0.84 ± 0.03,0.75 ± 0.07,16.22 ± 0.64
cba,0.15,0.84 ± 0.03,0.55 ± 0.15,17.41 ± 1.04
cba,0.2,0.84 ± 0.03,0.30 ± 0.17,18.61 ± 0.82
cba,0.25,0.84 ± 0.03,0.08 ± 0.15,20.09 ± 0.34
cba,0.3,0.84 ± 0.03,0.03 ± 0.06,21.27 ± 0.31
csbm,0.0,0.86 ± 0.02,1.00 ± 0.00,9.91 ± 0.69
csbm,0.05,0.86 ± 0.02,0.86 ± 0.06,15.24 ± 1.17
csbm,0.1,0.86 ± 0.02,0.73 ± 0.12,17.17 ± 0.39
csbm,0.15,0.86 ± 0.02,0.53 ± 0.18,18.55 ± 0.31
csbm,0.2,0.86 ± 0.02,0.32 ± 0.22,19.08 ± 0.34
csbm,0.25,0.86 ± 0.02,0.14 ± 0.17,19.62 ± 0.50
csbm,0.3,0.86 ± 0.02,0.02 ± 0.04,19.82 ± 0.42
